=== CFS input values ===
num_process = 10
sched_latency = 48
min_granularity = 6
burst_time = [10,20,30,40,50,60,70,80,90,100]
nice_value = [0,0,0,0,0,0,0,0,0,0]
=== CFS algorithm ===
=== Step 0 ===
Process	Weight	Remain	Slice	vruntime
P9	1024	100	6	0.00
=== Step 8 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 9 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	100	6	0.00
=== Step 10 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 11 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 12 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 13 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 14 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 15 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 16 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	64	6	6.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 17 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	74	6	6.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 18 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	84	6	6.00
P9	1024	94	6	6.00
=== Step 19 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	94	6	6.00
=== Step 20 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	8	6	12.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 21 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	18	6	12.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 22 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	28	6	12.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 23 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	38	6	12.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 24 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	48	6	12.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 25 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	58	6	12.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 26 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	68	6	12.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 27 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	78	6	12.00
P9	1024	88	6	12.00
=== Step 28 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	88	6	12.00
=== Step 29 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	2	6	18.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 30 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	12	6	18.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 31 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	22	6	18.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 32 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	32	6	18.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 33 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	42	6	18.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 34 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	52	6	18.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 35 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	62	6	18.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 36 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	72	6	18.00
P9	1024	82	6	18.00
=== Step 37 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	82	6	18.00
=== Step 38 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	6	6	24.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 39 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	16	6	24.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 40 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	26	6	24.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 41 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	36	6	24.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 42 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	46	6	24.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 43 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	56	6	24.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 44 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	66	6	24.00
P9	1024	76	6	24.00
=== Step 45 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	76	6	24.00
=== Step 46 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	10	6	30.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 47 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	20	6	30.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 48 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	30	6	30.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 49 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	40	6	30.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 50 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	50	6	30.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 51 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	60	6	30.00
P9	1024	70	6	30.00
=== Step 52 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	70	6	30.00
=== Step 53 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	4	6	36.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 54 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	14	6	36.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 55 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	24	6	36.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 56 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	18	6	42.00
P6	1024	34	6	36.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 57 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	18	6	42.00
P6	1024	28	6	42.00
P7	1024	44	6	36.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 58 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	18	6	42.00
P6	1024	28	6	42.00
P7	1024	38	6	42.00
P8	1024	54	6	36.00
P9	1024	64	6	36.00
=== Step 59 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	18	6	42.00
P6	1024	28	6	42.00
P7	1024	38	6	42.00
P8	1024	48	6	42.00
P9	1024	64	6	36.00
=== Step 60 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	8	6	42.00
P5	1024	18	6	42.00
P6	1024	28	6	42.00
P7	1024	38	6	42.00
P8	1024	48	6	42.00
P9	1024	58	6	42.00
=== Step 61 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	18	6	42.00
P6	1024	28	6	42.00
P7	1024	38	6	42.00
P8	1024	48	6	42.00
P9	1024	58	6	42.00
=== Step 62 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	12	6	48.00
P6	1024	28	6	42.00
P7	1024	38	6	42.00
P8	1024	48	6	42.00
P9	1024	58	6	42.00
=== Step 63 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	12	6	48.00
P6	1024	22	6	48.00
P7	1024	38	6	42.00
P8	1024	48	6	42.00
P9	1024	58	6	42.00
=== Step 64 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	12	6	48.00
P6	1024	22	6	48.00
P7	1024	32	6	48.00
P8	1024	48	6	42.00
P9	1024	58	6	42.00
=== Step 65 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	12	6	48.00
P6	1024	22	6	48.00
P7	1024	32	6	48.00
P8	1024	42	6	48.00
P9	1024	58	6	42.00
=== Step 66 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	2	6	48.00
P5	1024	12	6	48.00
P6	1024	22	6	48.00
P7	1024	32	6	48.00
P8	1024	42	6	48.00
P9	1024	52	6	48.00
=== Step 67 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	12	6	48.00
P6	1024	22	6	48.00
P7	1024	32	6	48.00
P8	1024	42	6	48.00
P9	1024	52	6	48.00
=== Step 68 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	6	6	54.00
P6	1024	22	6	48.00
P7	1024	32	6	48.00
P8	1024	42	6	48.00
P9	1024	52	6	48.00
=== Step 69 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	6	6	54.00
P6	1024	16	6	54.00
P7	1024	32	6	48.00
P8	1024	42	6	48.00
P9	1024	52	6	48.00
=== Step 70 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	6	6	54.00
P6	1024	16	6	54.00
P7	1024	26	6	54.00
P8	1024	42	6	48.00
P9	1024	52	6	48.00
=== Step 71 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	6	6	54.00
P6	1024	16	6	54.00
P7	1024	26	6	54.00
P8	1024	36	6	54.00
P9	1024	52	6	48.00
=== Step 72 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	6	6	54.00
P6	1024	16	6	54.00
P7	1024	26	6	54.00
P8	1024	36	6	54.00
P9	1024	46	6	54.00
=== Step 73 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	16	6	54.00
P7	1024	26	6	54.00
P8	1024	36	6	54.00
P9	1024	46	6	54.00
=== Step 74 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	10	6	60.00
P7	1024	26	6	54.00
P8	1024	36	6	54.00
P9	1024	46	6	54.00
=== Step 75 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	10	6	60.00
P7	1024	20	6	60.00
P8	1024	36	6	54.00
P9	1024	46	6	54.00
=== Step 76 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	10	6	60.00
P7	1024	20	6	60.00
P8	1024	30	6	60.00
P9	1024	46	6	54.00
=== Step 77 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	10	6	60.00
P7	1024	20	6	60.00
P8	1024	30	6	60.00
P9	1024	40	6	60.00
=== Step 78 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	4	6	66.00
P7	1024	20	6	60.00
P8	1024	30	6	60.00
P9	1024	40	6	60.00
=== Step 79 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	4	6	66.00
P7	1024	14	6	66.00
P8	1024	30	6	60.00
P9	1024	40	6	60.00
=== Step 80 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	0	6	10.00
P1	1024	0	6	20.00
P2	1024	0	6	30.00
P3	1024	0	6	40.00
P4	1024	0	6	50.00
P5	1024	0	6	60.00
P6	1024	4	6	66.00
P7	1024	14	6	66.00
P8	1024	24	6	66.00
